Nama_Kabupaten_Kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi
Kota Kediri,537326,80.12,7.23,4.38,2118116.63,291.6,1.74,0.7,4466.5,100.4,2022,3.0,22160.17,Kota Kediri,6.29
Kota Kediri,537326,80.12,7.23,4.38,2118116.63,291.6,1.74,0.7,4466.5,100.4,2022,4.0,22790.81,Kota Kediri,5.76
Kota Blitar,517363,80.15,7.37,5.39,2039024.44,151.9,1.98,0.37,4618.0,98.8,2022,1.0,1247.96,Kota Kediri,2.33
Kota Blitar,517363,80.15,7.37,5.39,2039024.44,151.9,1.98,0.37,4618.0,98.8,2022,2.0,1290.09,Kota Kediri,4.03
Kota Blitar,517363,80.15,7.37,5.39,2039024.44,151.9,1.98,0.37,4618.0,98.8,2022,3.0,1296.74,Kota Kediri,6.29
Kota Blitar,517363,80.15,7.37,5.39,2039024.44,151.9,1.98,0.37,4618.0,98.8,2022,4.0,1346.82,Kota Kediri,5.76
Kota Malang,609612,83.38,4.37,7.66,2994143.98,855.1,1.36,2.08,6803.0,98.95,2022,1.0,13851.85,Kota Malang,2.98
Kota Malang,609612,83.38,4.37,7.66,2994143.98,855.1,1.36,2.08,6803.0,98.95,2022,2.0,13989.0,Kota Malang,5.3
Kota Malang,609612,83.38,4.37,7.66,2994143.98,855.1,1.36,2.08,6803.0,98.95,2022,3.0,14311.5,Kota Malang,7.08
Kota Malang,609612,83.38,4.37,7.66,2994143.98,855.1,1.36,2.08,6803.0,98.95,2022,4.0,14526.29,Kota Malang,6.45
Kota Probolinggo,575195,76.08,6.65,4.57,2376240.63,244.1,1.97,0.59,4386.5,98.4,2022,1.0,2151.18,Kota Malang,2.98
Kota Probolinggo,575195,76.08,6.65,4.57,2376240.63,244.1,1.97,0.59,4386.5,98.4,2022,2.0,2244.19,Kota Malang,5.3
Kota Probolinggo,575195,76.08,6.65,4.57,2376240.63,244.1,1.97,0.59,4386.5,98.4,2022,3.0,2287.68,Kota Malang,7.08
Kota Probolinggo,575195,76.08,6.65,4.57,2376240.63,244.1,1.97,0.59,4386.5,98.4,2022,4.0,2189.79,Kota Malang,6.45
Kota Pasuruan,486893,77.71,6.37,6.18,2838837.64,212.95,2.51,0.52,5743.0,100.05,2022,1.0,1538.73,Kota Malang,2.98
Kota Pasuruan,486893,77.71,6.37,6.18,2838837.64,212.95,2.51,0.52,5743.0,100.05,2022,2.0,1560.09,Kota Malang,5.3
Kota Pasuruan,486893,77.71,6.37,6.18,2838837.64,212.95,2.51,0.52,5743.0,100.05,2022,3.0,1608.45,Kota Malang,7.08
Kota Pasuruan,486893,77.71,6.37,6.18,2838837.64,212.95,2.51,0.52,5743.0,100.05,2022,4.0,1575.12,Kota Malang,6.45
Kota Mojokerto,531804,80.19,5.98,5.05,2510452.36,134.7,1.82,0.33,6663.0,98.35,2022,1.0,1276.21,Kota Surabaya,3.16
Kota Mojokerto,531804,80.19,5.98,5.05,2510452.36,134.7,1.82,0.33,6663.0,98.35,2022,2.0,1311.23,Kota Surabaya,4.89
Kota Mojokerto,531804,80.19,5.98,5.05,2510452.36,134.7,1.82,0.33,6663.0,98.35,2022,3.0,1328.07,Kota Surabaya,6.91
Kota Mojokerto,531804,80.19,5.98,5.05,2510452.36,134.7,1.82,0.33,6663.0,98.35,2022,4.0,1337.48,Kota Surabaya,6.59
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,1.0,2727.38,Kota Madiun,2.38
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,1.0,2727.38,Kota Madiun,2.38
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,2.0,2730.7,Kota Madiun,4.76
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,2.0,2730.7,Kota Madiun,4.76
