Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kabupaten Lamongan,2025,I,0.63,Kota Surabaya
Kabupaten Gresik,2022,I,3.16,Kota Surabaya
Kabupaten Gresik,2022,II,4.89,Kota Surabaya
Kabupaten Gresik,2022,III,6.91,Kota Surabaya
Kabupaten Gresik,2022,IV,6.59,Kota Surabaya
Kabupaten Gresik,2023,I,6.3,Kota Surabaya
Kabupaten Gresik,2023,II,4.91,Kota Surabaya
Kabupaten Gresik,2023,III,3.14,Kota Surabaya
Kabupaten Gresik,2023,IV,3.03,Kota Surabaya
Kabupaten Gresik,2024,I,2.99,Kota Surabaya
Kabupaten Gresik,2024,II,2.35,Kota Surabaya
Kabupaten Gresik,2024,III,1.65,Kota Surabaya
Kabupaten Gresik,2024,IV,1.38,Kota Surabaya
Kabupaten Gresik,2025,I,0.63,Kota Surabaya
Kabupaten Bangkalan,2022,I,3.16,Kota Surabaya
Kabupaten Bangkalan,2022,II,4.89,Kota Surabaya
Kabupaten Bangkalan,2022,III,6.91,Kota Surabaya
Kabupaten Bangkalan,2022,IV,6.59,Kota Surabaya
Kabupaten Bangkalan,2023,I,6.3,Kota Surabaya
Kabupaten Bangkalan,2023,II,4.91,Kota Surabaya
Kabupaten Bangkalan,2023,III,3.14,Kota Surabaya
Kabupaten Bangkalan,2023,IV,3.03,Kota Surabaya
Kabupaten Bangkalan,2024,I,2.99,Kota Surabaya
Kabupaten Bangkalan,2024,II,2.35,Kota Surabaya
Kabupaten Bangkalan,2024,III,1.65,Kota Surabaya
Kabupaten Bangkalan,2024,IV,1.38,Kota Surabaya
Kabupaten Bangkalan,2025,I,0.63,Kota Surabaya
Kabupaten Sampang,2022,I,3.57,Kabupaten Sumenep
Kabupaten Sampang,2022,II,5.79,Kabupaten Sumenep
Kabupaten Sampang,2022,III,6.54,Kabupaten Sumenep
Kabupaten Sampang,2022,IV,6.32,Kabupaten Sumenep
Kabupaten Sampang,2023,I,6.43,Kabupaten Sumenep
Kabupaten Sampang,2023,II,4.53,Kabupaten Sumenep
Kabupaten Sampang,2023,III,4.47,Kabupaten Sumenep
Kabupaten Sampang,2023,IV,5.08,Kabupaten Sumenep
