kabupaten_kota,tahun,kuartal,total investasi_rp_juta,total investasi_us_ribu,total_tki,investasi_per_kapita
Kabupaten Probolinggo,2024,3,1401399.5999999999,93426.1,893,0.0
Kabupaten Probolinggo,2024,4,2447488.6,163165.9,352,0.0
Kabupaten Sampang,2022,2,4147.0,289.0,3,0.0
Kabupaten Sampang,2022,3,3218.2,224.00000000000003,9,0.0
Kabupaten Sampang,2022,4,70978.9,4946.3,67,0.0
Kabupaten Sampang,2023,1,2168.2,146.50000000000003,10,0.0
Kabupaten Sampang,2023,2,484.2,32.5,0,0.0
Kabupaten Sampang,2023,3,6934.3,468.6,350,0.0
Kabupaten Sampang,2023,4,11099.400000000001,749.9,4,0.0
Kabupaten Sampang,2024,1,4625.6,308.5,0,0.0
Kabupaten Sampang,2024,2,24579.5,1638.8,0,0.0
Kabupaten Sampang,2024,3,388.0,25.799999999999997,0,0.0
Kabupaten Sampang,2024,4,1768.7,117.8,0,0.0
Kabupaten Sidoarjo,2022,2,5645031.4,393380.89999999997,4976,0.0
Kabupaten Sidoarjo,2022,3,2864132.0,199591.8,2881,0.0
Kabupaten Sidoarjo,2022,4,1773316.3,123575.3,3402,0.0
Kabupaten Sidoarjo,2023,1,3029649.5,204706.1,5135,0.0
Kabupaten Sidoarjo,2023,2,2628151.1999999997,177576.5,5385,0.0
Kabupaten Sidoarjo,2023,3,4253022.2,287366.6,13158,0.0
Kabupaten Sidoarjo,2023,4,3770996.6,254797.3,8344,0.0
Kabupaten Sidoarjo,2024,1,5405302.600000001,360351.7,10848,0.0
Kabupaten Sidoarjo,2024,2,2957418.7,197160.7,9978,0.0
Kabupaten Sidoarjo,2024,3,4141348.6,276089.4,10084,0.0
Kabupaten Sidoarjo,2024,4,4542373.100000001,302823.2,13106,0.0
Kabupaten Situbondo,2022,2,11761.9,819.6,64,0.0
Kabupaten Situbondo,2022,3,52504.9,3658.9,210,0.0
Kabupaten Situbondo,2022,4,61403.7,4279.1,60,0.0
Kabupaten Situbondo,2023,1,109886.2,7424.6,36,0.0
Kabupaten Situbondo,2023,2,18858.600000000002,1274.2,1155,0.0
Kabupaten Situbondo,2023,3,256063.09999999998,17302.5,255,0.0
Kabupaten Situbondo,2023,4,38236.5,2583.5,230,0.0
Kabupaten Situbondo,2024,1,47470.0,3164.6000000000004,525,0.0
Kabupaten Situbondo,2024,2,420851.5,28056.9,792,0.0
Kabupaten Situbondo,2024,3,87285.2,5818.7,753,0.0
Kabupaten Situbondo,2024,4,32682.7,2178.9,50,0.0
Kabupaten Sumenep,2022,2,700.0,48.8,81,0.0
Kabupaten Sumenep,2022,3,54204.0,3777.4,65,0.0
Kabupaten Sumenep,2022,4,5629.0,392.20000000000005,27,0.0
Kabupaten Sumenep,2023,1,1172.8,79.19999999999999,35,0.0
Kabupaten Sumenep,2023,2,6195.1,418.6,8,0.0
Kabupaten Sumenep,2023,3,3767.4,254.8,16,0.0
Kabupaten Sumenep,2023,4,23285.699999999997,1573.5,0,0.0
Kabupaten Sumenep,2024,1,30671.199999999997,2044.7,136,0.0
Kabupaten Sumenep,2024,2,15103.7,1006.6999999999999,1,0.0
Kabupaten Sumenep,2024,3,1679.9,112.0,5,0.0
Kabupaten Sumenep,2024,4,14247.7,949.8,14,0.0
Kabupaten Trenggalek,2022,2,19887.5,1385.9,25,0.0
Kabupaten Trenggalek,2022,3,5447.5,379.3,10,0.0
Kabupaten Trenggalek,2022,4,25688.2,1790.1999999999998,31,0.0
Kabupaten Trenggalek,2023,1,10182.8,688.0,14,0.0
Kabupaten Trenggalek,2023,2,8052.6,544.1,2,0.0
Kabupaten Trenggalek,2023,3,20473.899999999998,1383.4,26,0.0
Kabupaten Trenggalek,2023,4,982.8,66.3,75,0.0
Kabupaten Trenggalek,2024,1,4793.5,319.6,1,0.0
Kabupaten Trenggalek,2024,2,60916.8,4061.0,97,0.0
Kabupaten Trenggalek,2024,3,1945.7,129.9,25,0.0
Kabupaten Trenggalek,2024,4,3791.7999999999997,252.89999999999998,192,0.0
Kabupaten Tuban,2022,2,628550.6,43800.799999999996,589,0.0
Kabupaten Tuban,2022,3,532448.0,37103.799999999996,110,0.0
Kabupaten Tuban,2022,4,933030.7,65019.6,852,0.0
Kabupaten Tuban,2023,1,1327069.0,89666.59999999999,190,0.0
Kabupaten Tuban,2023,2,581467.3999999999,39288.99999999999,298,0.0
Kabupaten Tuban,2023,3,714131.4,48251.8,387,0.0
Kabupaten Tuban,2023,4,1612694.5999999999,108965.7,322,0.0
Kabupaten Tuban,2024,1,1068473.2,71231.2,524,0.0
Kabupaten Tuban,2024,2,905012.1,60334.3,886,0.0
Kabupaten Tuban,2024,3,983573.6,65571.2,1721,0.0
Kabupaten Tuban,2024,4,1455876.0,97058.2,487,0.0
Kabupaten Tulungagung,2022,2,2936.6,204.6,497,0.0
Kabupaten Tulungagung,2022,3,15956.7,1111.8,7,0.0
Kabupaten Tulungagung,2022,4,2945.6,205.2,193,0.0
Kabupaten Tulungagung,2023,1,32388.1,2188.3,35,0.0
Kabupaten Tulungagung,2023,2,31239.300000000003,2110.7,546,0.0
Kabupaten Tulungagung,2023,3,110106.7,7439.599999999999,219,0.0
Kabupaten Tulungagung,2023,4,30239.7,2043.6000000000001,83,0.0
Kabupaten Tulungagung,2024,1,11723.4,781.2,363,0.0
Kabupaten Tulungagung,2024,2,54258.5,3617.2,767,0.0
Kabupaten Tulungagung,2024,3,32291.100000000002,2153.0,657,0.0
Kabupaten Tulungagung,2024,4,18922.0,1261.7,274,0.0
Kota Batu,2022,2,120.0,8.4,10,0.0
Kota Batu,2022,3,50173.3,3496.4,337,0.0
Kota Batu,2022,4,22109.1,1540.7,131,0.0
Kota Batu,2023,1,9516.5,643.0,37,0.0
Kota Batu,2023,2,152177.90000000002,10282.1,165,0.0
Kota Batu,2023,3,11922.7,805.3,155,0.0
Kota Batu,2023,4,10625.9,717.9000000000001,56,0.0
Kota Batu,2024,1,38747.4,2583.0,115,0.0
Kota Batu,2024,2,37054.8,2470.3,238,0.0
Kota Batu,2024,3,129131.79999999999,8608.6,309,0.0
Kota Batu,2024,4,106708.2,7114.0,1701,0.0
Kota Blitar,2022,2,7925.2,552.3,1,0.0
Kota Blitar,2022,3,28488.800000000003,1985.4,61,0.0
Kota Blitar,2022,4,5568.099999999999,388.1,130,0.0
Kota Blitar,2023,1,49732.6,3360.0,122,0.0
Kota Blitar,2023,2,2162.3,146.2,53,0.0
Kota Blitar,2023,3,26759.3,1808.1999999999998,59,0.0
Kota Blitar,2023,4,9422.0,636.7,63,0.0
Kota Blitar,2024,1,4204.8,280.2,1295,0.0
Kota Blitar,2024,2,24283.000000000004,1619.3999999999999,118,0.0
Kota Blitar,2024,3,32634.199999999997,2175.5,1234,0.0
Kota Blitar,2024,4,83769.59999999999,5584.400000000001,199,0.0
Kota Kediri,2022,2,50240.6,3500.9,470,0.0
Kota Kediri,2022,3,122095.79999999999,8508.2,450,0.0
Kota Kediri,2022,4,33038.4,2302.2,35,0.0
Kota Kediri,2023,1,37538.7,2536.3,112,0.0
Kota Kediri,2023,2,142821.0,9650.1,772,0.0
Kota Kediri,2023,3,45158.7,3050.8,726,0.0
Kota Kediri,2023,4,163100.6,11020.4,217,0.0
Kota Kediri,2024,1,91318.7,6087.8,262,0.0
Kota Kediri,2024,2,74311.9,4954.8,2112,0.0
Kota Kediri,2024,3,357261.9,23817.899999999998,258,0.0
Kota Kediri,2024,4,77160.9,5144.1,529,0.0
Kota Madiun,2022,2,12727.699999999999,887.0,10,0.0
Kota Madiun,2022,3,27167.9,1893.0,139,0.0
Kota Madiun,2022,4,7191.299999999999,501.1,85,0.0
Kota Madiun,2023,1,12791.3,864.3,75,0.0
Kota Madiun,2023,2,60567.9,4092.7,219,0.0
Kota Madiun,2023,3,135788.9,9174.5,245,0.0
Kota Madiun,2023,4,52601.5,3554.5,210,0.0
Kota Madiun,2024,1,150542.2,10035.9,287,0.0
Kota Madiun,2024,2,143941.0,9597.0,434,0.0
Kota Madiun,2024,3,147969.69999999998,9865.5,763,0.0
